191-noptp,191-unmanaged,191-ptp,203-noptp,203-unmanaged,203-ptp,234-noptp,234-unmanaged,234-ptp
0.00021073877427184466,-0.00014591416067146281,5.84954609929078e-6,-0.0005804969325153373,-0.00012081971514242879,7.196547497446374e-6,-0.0008103532210834553,-0.00010561851211072665,7.866700507614213e-6
0.00021163153456998314,-0.00014612048387096775,5.82317384370016e-6,-0.0005851748251748251,-0.00012086555806087937,7.209416785206259e-6,-0.0008164855371900828,-0.00010633815612382234,7.876182008368201e-6
0.00021338896952104497,-0.00014667063829787235,5.845909090909091e-6,-0.0005883814655172415,-0.00012140672782874617,7.214411764705882e-6,-0.0008225740917782026,-0.00010678815789473684,7.875415204678363e-6
0.00021429911323328786,-0.00014735491228070176,5.845596933187294e-6,-0.0005931122448979591,-0.00012199231678486998,7.206180482686253e-6,-0.0008298593073593073,-0.0001069640625,7.88690625e-6
0.0002161138838475499,-0.00014796353703703705,5.81533096926714e-6,-0.0005978879915730336,-0.0001220787037037037,7.187048319327731e-6,-0.000835934664246824,-0.0001076594427244582,7.886947584789312e-6
0.00021815538194444446,-0.00014843915094339623,5.8339726027397265e-6,-0.0006023963004484305,-0.00012286823935558114,7.1803309692671395e-6,-0.0008420520344287949,-0.00010837623456790123,7.900715935334873e-6
0.00021892259414225943,-0.00014870610962566846,5.843616692426584e-6,-0.000606973125884017,-0.0001234078341013825,7.146194779116466e-6,-0.0008494537671232876,-0.0001088498759305211,7.92415014164306e-6
0.0002207530864197531,-0.0001493128397565923,5.851475054229935e-6,-0.0006117611580217128,-0.00012424287410926367,7.173376835236541e-6,-0.0008556242405832321,-0.00010955893987341772,7.931873767258382e-6
0.0002228881469115192,-0.00014998083333333335,5.856133625410734e-6,-0.0006164248251748251,-0.00012432796852646636,7.1884837092731825e-6,-0.0008618068181818182,-0.0001102208423326134,7.909602836879433e-6
0.00022338921282798833,-0.00015031744572158366,5.866451953537487e-6,-0.0006208648989898991,-0.0001243710247349823,7.178016336056009e-6,-0.0008692239185750636,-0.00011090682515337423,7.934347826086956e-6
0.0002255425824175824,-0.00015015903636363638,5.846036400404449e-6,-0.0006255967555040558,-0.00012467474489795917,7.147362637362638e-6,-0.0008753610304789551,-0.00011162087264150945,7.947934165720772e-6
0.00022733957219251335,-0.00015055146690518781,5.81841075794621e-6,-0.000630332585949178,-0.00012528896672504378,7.149923195084486e-6,-0.0008827076271186441,-0.00011233966666666666,7.954883435582821e-6
0.000228147713950762,-0.00015102745454545456,5.849597701149425e-6,-0.0006347608481262327,-0.00012535527912621358,7.185885471898197e-6,-0.0008887575604838709,-0.00011304006968641116,7.919106901217862e-6
